sort,coral_id,site,type,code,family,genus,species,cafi_size_mm,measurement,alt_size_mm,alt_measurement,cafi_weight,extraction_method,known_unknown,predicted_family,photo_num,revised_yn,revision_date,identified_by,revised_by,previous_name,AP_list_num,notes
456,MRB-POC14,MRB07,crab,desert_camo_crab,,,,1,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 81,,,,,,,
457,MRB-POC14,MRB07,crab,desert_camo_crab,,,,1,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 83 Top/Unknown Crab 83 Bottom,,,,,,,
458,MRB-POC14,MRB07,shrimp,facehugger_shrimp,,,,2.5,rostrum_to_tail,,,NA,clove,unknown,palaemonidae,Unknown Shrimp 182,,,,,,,
459,MRB-POC14,MRB07,shrimp,facehugger_shrimp,,,,1.5,rostrum_to_tail,,,NA,clove,unknown,palaemonidae,Unknown Shrimp 183,,,,,,,
460,MRB-POC14,MRB07,shrimp,facehugger_shrimp,,,,1.5,rostrum_to_tail,,,NA,clove,unknown,palaemonidae,Unknown Shrimp 184/185,,,,,,,
461,MRB-POC14,MRB07,shrimp,facehugger_shrimp,,,,1.5,rostrum_to_tail,,,NA,clove,unknown,palaemonidae,Unknown Shrimp 184/185,,,,,,,
462,MRB-POC14,MRB07,worm,fireworm,,,,10,total_length,,,NA,clove,unknown,fireworm_family,Unknown Fireworm,,,,,,,
463,MRB-POC14,MRB07,crab,frog_crab,,,,3.5,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 65,,,,,,,
464,MRB-POC14,MRB07,crab,frog_crab,,,,3,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 66,,,,,,,
465,MRB-POC14,MRB07,crab,frog_crab,,,,3.5,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 67,,,,,,,
466,MRB-POC14,MRB07,crab,frog_crab,,,,3,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 68,,,,,,,
467,MRB-POC14,MRB07,crab,frog_crab,,,,2.5,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 70,,,,,,,
468,MRB-POC14,MRB07,crab,frog_crab,,,,3.5,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 71,,,,,,,
469,MRB-POC14,MRB07,crab,frog_crab,,,,2,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 72,,,,,,,
470,MRB-POC14,MRB07,crab,frog_crab,,,,2,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 73,,,,,,,3 triangular dots on underside
471,MRB-POC14,MRB07,crab,frog_crab,,,,1.5,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 74,,,,,,,
472,MRB-POC14,MRB07,crab,frog_crab,,,,1,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 75,,,,,,,
473,MRB-POC14,MRB07,crab,frog_crab,,,,1,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 76,,,,,,,
474,MRB-POC14,MRB07,crab,frog_crab,,,,1.5,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 77,,,,,,,
475,MRB-POC14,MRB07,crab,frog_crab,,,,1,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 79,,,,,,,
476,MRB-POC14,MRB07,crab,frog_crab,,,,1,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 82 Top/ Unknown Crab 82 Bottom,,,,,,,
477,MRB-POC14,MRB07,crab,frog_crab,,,,2,carapace_width,,,NA,smash,unknown,xanthidae,Unknown Crab 84 Top/Unknown Crab 84 Top,,,,,,,
478,MRB-POC14,MRB07,crab,frog_crab,,,,1,carapace_width,,,NA,smash,unknown,xanthidae,Unknown Crab 85 Top/ Unknown Crab 85 Bottom,,,,,,,
479,MRB-POC14,MRB07,squat_lobster,GAMA,galatheidae,galathea,mauritiana,5,carapace_length,,,NA,clove,known,galatheidae,Galathea mauritiana,,,,,,,
480,MRB-POC14,MRB07,clear_shrimp,HADE,palaemonidae,harpiliopsis,depressa,13,rostrum_to_tail,,,NA,clove,known,palaemonidae,Harpiliopsis depressa,,,,,,,
481,MRB-POC14,MRB07,clear_shrimp,HADE,palaemonidae,harpiliopsis,depressa,13,rostrum_to_tail,,,NA,clove,known,palaemonidae,Harpiliopsis depressa 2,,,,,,,
482,MRB-POC14,MRB07,echinoderm,OPSC,,,,5,disc_width,18,arm_length,NA,clove,known,brittle_star_family,Unknown Brittle Star 6,y,3-Nov,AP,ZSP,halloween brittle,163,
483,MRB-POC14,MRB07,snail,LIMP,,,,15.5,shell_length,,,NA,clove,known,quoyula madreporum,,,,,,,,
484,MRB-POC14,MRB07,snail,LIMP,,,,14,shell_length,,,NA,smash,known,quoyula madreporum,,,,,,,,
485,MRB-POC14,MRB07,snail,LIMP,,,,9.4,shell_length,,,NA,smash,known,quoyula madreporum,,,,,,,,
486,MRB-POC14,MRB07,snail,LIMP,,,,5.9,shell_length,,,NA,smash,known,quoyula madreporum,,,,,,,,
487,MRB-POC14,MRB07,snail,LIMP,,,,4.1,shell_length,,,NA,smash,known,quoyula madreporum,,,,,,,,
488,MRB-POC14,MRB07,echinoderm,OPPI,ophiocomidae,ophiocoma,pica,10.5,disc_width,34.5,arm_length,NA,clove,known,,,,,,,,,
489,MRB-POC14,MRB07,clear_shrimp,orange_dot_clear_shrimp,,,,7,rostrum_to_tail,,,NA,clove,unknown,palaemonidae,Unknown Shrimp 175,,,,,,,
490,MRB-POC14,MRB07,clear_shrimp,orange_dot_clear_shrimp,,,,6,rostrum_to_tail,,,NA,clove,unknown,palaemonidae,Unknown Shrimp 176,,,,,,,mangled
491,MRB-POC14,MRB07,clear_shrimp,orange_dot_clear_shrimp,,,,7,rostrum_to_tail,,,NA,clove,unknown,palaemonidae,Unknown Shrimp 177,,,,,,,
492,MRB-POC14,MRB07,snail,hermit_shell_snail,,,,2,shell_length,,,NA,clove,unknown,snail_family,Unknown Snail 10,,,,,,,
493,MRB-POC14,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,1,carapace_length,,,NA,clove,unknown,diogenidae,"Unknown Hermit Crab 9, 10, 11, 12, 13",,,,,,,
494,MRB-POC14,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,3,carapace_length,,,NA,clove,unknown,diogenidae,"Unknown Hermit Crab 9, 10, 11, 12, 13",,,,,,,
495,MRB-POC14,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,2,carapace_length,,,NA,clove,unknown,diogenidae,"Unknown Hermit Crab 9, 10, 11, 12, 13",,,,,,,
496,MRB-POC14,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,3,carapace_length,,,NA,clove,unknown,diogenidae,"Unknown Hermit Crab 9, 10, 11, 12, 13",,,,,,,
497,MRB-POC14,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,1,carapace_length,,,NA,clove,unknown,diogenidae,"Unknown Hermit Crab 9, 10, 11, 12, 13",,,,,,,
498,MRB-POC14,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,1,carapace_length,,,NA,clove,unknown,diogenidae,"Unkown Hermit Crab 14, 15, 16",,,,,,,
499,MRB-POC14,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,2,carapace_length,,,NA,clove,unknown,diogenidae,"Unkown Hermit Crab 14, 15, 16",,,,,,,
500,MRB-POC14,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,1,carapace_length,,,NA,clove,unknown,diogenidae,"Unkown Hermit Crab 14, 15, 16",,,,,,,
501,MRB-POC14,MRB07,crab,TRAR,trapeziidae,trapezia,areolata,5.3,carapace_width,,,NA,clove,known,,,,,,,,,
502,MRB-POC14,MRB07,crab,TRBI,trapeziidae,trapezia,bidentata,5.7,carapace_width,,,NA,clove,known,,,,,,,,,
503,MRB-POC14,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,12.4,carapace_width,,,NA,clove,known,,,,,,,,,
504,MRB-POC14,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,7.8,carapace_width,,,NA,clove,known,,,,,,,,,
505,MRB-POC14,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,6,carapace_width,,,NA,clove,known,trapeziidae,trapezia serenei 1,,,,,,,
506,MRB-POC14,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,4.5,carapace_width,,,NA,clove,known,trapeziidae,trapezia serenei 2,,,,,,,
507,MRB-POC14,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,5,carapace_width,,,NA,clove,known,trapeziidae,trapezia serenei 3,,,,,,,
508,MRB-POC14,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,7,carapace_width,,,NA,clove,known,trapeziidae,trapezia serenei 4,,,,,,,
509,MRB-POC14,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,4,carapace_width,,,NA,clove,known,trapeziidae,trapezia serenei 5,,,,,,,
510,MRB-POC14,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,4,carapace_width,,,NA,clove,known,trapeziidae,trapezia serenei 6,,,,,,,
511,MRB-POC14,MRB07,squat_lobster,unknown_green_squat_lobster,,,,3.2,carapace_length,,,NA,clove,unknown,galatheidae,,,,,,,,best guess g. mauritana
512,MRB-POC14,MRB07,snail,white_and_brown_limpet_snail,,,,3,shell_length,,,NA,clove,unknown,limpet_family,Unknown Limpet 3,,,,,,,
513,MRB-POC14,MRB07,hermit,CAMO,,,,3.5,carapace_length,,,NA,clove,known,diogenidae,Unkown Hermit Crab 8,y,3-Nov,AP,ZSP,white with orange polka dots and blue eyes,164,
514,MRB-POC15,MRB07,shrimp,ALLO,alpheidae,alpheus,lottini,20.4,rostrum_to_tail,,,NA,clove,known,,,,,,,,,
515,MRB-POC15,MRB07,shrimp,ALLO,alpheidae,alpheus,lottini,23.7,rostrum_to_tail,,,NA,clove,known,gravid,,,,,,,,
516,MRB-POC15,MRB07,shrimp,big_orange_spot_alpheid_shrimp,,,,8,rostrum_to_tail,,,NA,clove,unknown,alpheidae,Unknown Shrimp 219,,,,JC,alphaid with big orange spots,,
517,MRB-POC15,MRB07,shrimp,huge_claw_alpheid_shrimp,,,,13,rostrum_to_tail,,,NA,smash,unknown,alpheidae,Unknown Shrimp 221,,,,JC,alphaiid with huge claw,,Photo number incorrectly recorded as Unknown Shrimp 121
518,MRB-POC15,MRB07,shrimp,tan_claw_alpheid_shrimp,,,,8,rostrum_to_tail,,,NA,smash,unknown,alpheidae,,,,,JC,aplhaiid with tan claw (EtOH effect?),,Photo number incorrectly recorded as Unknown Shrimp 122; no photo?
519,MRB-POC15,MRB07,hermit,black_striped_eyes_orange_antennae_hermit,,,,3,carapace_length,,,NA,clove,unknown,diogenidae,Unknown Hermit Crab 17,,,,JC,"black striped eyes, orange antennae",,
520,MRB-POC15,MRB07,crab,bumpy_white_brown_spots_crab,,,,4.5,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 89,,,,JC,bumpy white crab with brown spots,,
521,MRB-POC15,MRB07,clear_shrimp,FECH,,,,6,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 202, 203, 204",y,11/27/19,AP,JC,clear shrimp with dark eyes and claws,,original name didn't match merge list but photo number did
522,MRB-POC15,MRB07,clear_shrimp,FECH,,,,5,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 202, 203, 204",y,11/27/19,AP,JC,clear shrimp with dark eyes and claws,,original name didn't match merge list but photo number did
523,MRB-POC15,MRB07,clear_shrimp,FECH,,,,4,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 202, 203, 204",y,11/27/19,AP,JC,clear shrimp with dark eyes and claws,,original name didn't match merge list but photo number did
524,MRB-POC15,MRB07,clear_shrimp,FECH,,,,6,rostrum_to_tail,,,NA,clove,known,palaemonidae,Unknown Shrmip 218,y,11/27/19,AP,JC,clear shrimp with dark eyes and claws,,
525,MRB-POC15,MRB07,clear_shrimp,FECH,,,,5,rostrum_to_tail,,,NA,clove,known,palaemonidae,Unknown Shrimp 189,y,11/27/19,AP,JC,clear shrimp with faded orange dots near eyes,,original name didn't match merge list but photo number did
526,MRB-POC15,MRB07,clear_shrimp,FECH,,,,5,rostrum_to_tail,,,NA,clove,known,palaemonidae,Unknown Shrimp 191,y,11/27/19,AP,JC,clear shrimp with orange carapace,,original name didn't match merge list but photo number did
527,MRB-POC15,MRB07,clear_shrimp,FECH,,,,8,rostrum_to_tail,,,NA,clove,known,palaemonidae,Unknown Shrimp 192,y,11/27/19,AP,JC,clear shrimp with orange polka dots on eyes,,original name didn't match merge list but photo number did
528,MRB-POC15,MRB07,clear_shrimp,FECH,,,,6,rostrum_to_tail,,,NA,clove,known,palaemonidae,unknown shrimp 190,y,11/27/19,AP,JC,"clear shrimp, no apparent dots",,original name didn't match merge list but photo number did
529,MRB-POC15,MRB07,crab,frog_crab,,,,1,carapace_width,,,NA,clove,unknown,xanthidae,"Unknown Crabs 86, 87, 88",,,,,,,
530,MRB-POC15,MRB07,crab,frog_crab,,,,1.5,carapace_width,,,NA,clove,unknown,xanthidae,"Unknown Crabs 86, 87, 88",,,,,,,
531,MRB-POC15,MRB07,crab,frog_crab,,,,2,carapace_width,,,NA,clove,unknown,xanthidae,"Unknown Crabs 86, 87, 88",,,,,,,
532,MRB-POC15,MRB07,crab,frog_crab,,,,1,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 93,,,,,,,
533,MRB-POC15,MRB07,clear_shrimp,FECH,,,,4,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 213, 214",y,11/27/19,AP,JC,gold eyed clear shrimp,,original name didn't match merge list but photo number did
534,MRB-POC15,MRB07,clear_shrimp,FECH,,,,4,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 213, 214",y,11/27/19,AP,JC,gold eyed clear shrimp,,original name didn't match merge list but photo number did
535,MRB-POC15,MRB07,clear_shrimp,FECH,,,,6,rostrum_to_tail,,,NA,smash,known,palaemonidae,Unknown Shrimp 220,y,11/27/19,AP,JC,gold eyed clear shrimp,,"Duplicate photo number, originally recorded as 120"
536,MRB-POC15,MRB07,echinoderm,OPCI,,,,8.5,disc_width,41,arm_length,NA,clove,known,brittle_star_family,Unknown Brittle Star 7,y,3-Nov,AP,ZSP,gray scaley brittle,165,
537,MRB-POC15,MRB07,snail,LIMP,,,,13.2,shell_length,,,NA,smash,known,quoyula madreporum,,,,,,,,
538,MRB-POC15,MRB07,echinoderm,OPPI,ophiocomidae,ophiocoma,pica,8.7,disc_width,27.5,arm_length,NA,clove,known,,,,,,,,,
539,MRB-POC15,MRB07,echinoderm,OPPI,ophiocomidae,ophiocoma,pica,4.6,disc_width,11,arm_length,NA,clove,known,,,,,,,,,
540,MRB-POC15,MRB07,echinoderm,OPPI,ophiocomidae,ophiocoma,pica,6.2,disc_width,21.3,arm_length,NA,clove,known,,,,,,,,,
541,MRB-POC15,MRB07,echinoderm,OPPI,ophiocomidae,ophiocoma,pica,8.1,disc_width,23,arm_length,NA,clove,known,,,,,,,,,
542,MRB-POC15,MRB07,echinoderm,OPPI,ophiocomidae,ophiocoma,pica,4.7,disc_width,14.2,arm_length,NA,clove,known,,,,,,,,,
543,MRB-POC15,MRB07,echinoderm,OPPI,ophiocomidae,ophiocoma,pica,3,disc_width,8.1,arm_length,NA,clove,known,,,,,,,,,
544,MRB-POC15,MRB07,echinoderm,OPPI,ophiocomidae,ophiocoma,pica,2.7,disc_width,7.1,arm_length,NA,smash,known,,,,,,,,,
545,MRB-POC15,MRB07,clear_shrimp,orange_forehead_clear_shrimp,,,,13,rostrum_to_tail,,,NA,clove,unknown,palaemonidae,Unknown Shrimp 187,,,,,,,
546,MRB-POC15,MRB07,clear_shrimp,orange_forehead_clear_shrimp,,,,7,rostrum_to_tail,,,NA,clove,unknown,palaemonidae,Unknown Shrimp 188,,,,,,,
547,MRB-POC15,MRB07,snail,possible_drupella,,,,3,shell_length,,,NA,clove,unknown,snail_family,"Unknown Snail 12, 13, 14, 15, 16, 17",,,,,,,
548,MRB-POC15,MRB07,snail,possible_drupella,,,,5,shell_length,,,NA,clove,unknown,snail_family,"Unknown Snail 12, 13, 14, 15, 16, 17",,,,,,,
549,MRB-POC15,MRB07,clear_shrimp,FECH,,,,7,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 195, 196",y,3-Nov,AP,ZSP,skinny clear shrimp with no claws,172,different original name
550,MRB-POC15,MRB07,clear_shrimp,FECH,,,,6,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 195, 196",y,3-Nov,AP,ZSP,skinny clear shrimp with no claws,173,different original name
551,MRB-POC15,MRB07,clear_shrimp,FECH,,,,5,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 197, 198",y,3-Nov,AP,ZSP,skinny clear shrimp with no claws,174,different original name
552,MRB-POC15,MRB07,clear_shrimp,FECH,,,,5,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 197, 198",y,3-Nov,AP,ZSP,skinny clear shrimp with no claws,175,different original name
553,MRB-POC15,MRB07,clear_shrimp,FECH,,,,6,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 193, 194",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),170,
554,MRB-POC15,MRB07,clear_shrimp,FECH,,,,7,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 193, 194",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),171,
555,MRB-POC15,MRB07,clear_shrimp,FECH,,,,4,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 199, 200, 201",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),176,
556,MRB-POC15,MRB07,clear_shrimp,FECH,,,,6.5,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 199, 200, 201",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),177,
557,MRB-POC15,MRB07,clear_shrimp,FECH,,,,5,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 199, 200, 201",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),178,
558,MRB-POC15,MRB07,clear_shrimp,FECH,,,,6,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 205, 206, 207",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),182,
559,MRB-POC15,MRB07,clear_shrimp,FECH,,,,7,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 205, 206, 207",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),183,
560,MRB-POC15,MRB07,clear_shrimp,FECH,,,,7,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 205, 206, 207",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),184,
561,MRB-POC15,MRB07,clear_shrimp,FECH,,,,7,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 208, 209, 210",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),185,
562,MRB-POC15,MRB07,clear_shrimp,FECH,,,,4,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 208, 209, 210",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),186,
563,MRB-POC15,MRB07,clear_shrimp,FECH,,,,6,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 208, 209, 210",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),187,
564,MRB-POC15,MRB07,clear_shrimp,FECH,,,,4,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 211, 212",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),188,
565,MRB-POC15,MRB07,clear_shrimp,FECH,,,,6,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 211, 212",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),189,
566,MRB-POC15,MRB07,clear_shrimp,FECH,,,,5,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 215, 216, 217",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),192,
567,MRB-POC15,MRB07,clear_shrimp,FECH,,,,4,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 215, 216, 217",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),293,
568,MRB-POC15,MRB07,clear_shrimp,FECH,,,,5,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 215, 216, 217",y,3-Nov,AP,ZSP,skinny clear shrimp with white eyes and claws (EtOH),194,
569,MRB-POC15,MRB07,snail,red_stripe_snail,,,,4,shell_length,,,NA,clove,unknown,snail_family,Unknown Snail 11,,,,,,,
570,MRB-POC15,MRB07,snail,green_red_brown_spiral_snail,,,,5,shell_length,,,NA,clove,unknown,snail_family,"Unknown Snail 12, 13, 14, 15, 16, 17",,,,,,,
571,MRB-POC15,MRB07,crab,tan_orange_eyes_crab,,,,2,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 92,,,,,,,
572,MRB-POC15,MRB07,crab,tan_orange_spot_legs_crab,,,,4,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 91,,,,,,,
573,MRB-POC15,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,2,carapace_length,,,NA,clove,unknown,diogenidae,"Unknown Hermit Crab 18, 19, 20, 21",,,,,,,
574,MRB-POC15,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,2,carapace_length,,,NA,clove,unknown,diogenidae,"Unknown Hermit Crab 18, 19, 20, 21",,,,,,,
575,MRB-POC15,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,1,carapace_length,,,NA,clove,unknown,diogenidae,"Unknown Hermit Crab 18, 19, 20, 21",,,,,,,
576,MRB-POC15,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,2,carapace_length,,,NA,clove,unknown,diogenidae,"Unknown Hermit Crab 18, 19, 20, 21",,,,,,,
577,MRB-POC15,MRB07,hermit,tiny_white_with_orange_spots_hermit,,,,2,carapace_length,,,NA,clove,unknown,diogenidae,Unknown Hermit Crab 22,,,,,,,
578,MRB-POC15,MRB07,crab,TRBI,trapeziidae,trapezia,bidentata,5.5,carapace_width,,,NA,clove,known,,,,,,,,,
579,MRB-POC15,MRB07,crab,TRBI,trapeziidae,trapezia,bidentata,5,carapace_width,,,NA,clove,known,,,,,,,,,
580,MRB-POC15,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,9.3,carapace_width,,,NA,clove,known,,,,,,,,,
581,MRB-POC15,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,11.3,carapace_width,,,NA,clove,known,gravid,,,,,,,,
582,MRB-POC15,MRB07,crab,TRSE,trapeziidae,trapezia,serenei,3,carapace_width,,,NA,clove,known,trapeziidae,T. serenei 7,,,,,,,
584,MRB-POC15,MRB07,snail,white_and_light_brown_banded_shell_snail,,,,3,shell_length,,,NA,clove,unknown,snail_family,"Unknown Snail 12, 13, 14, 15, 16, 17",,,,,,,
585,MRB-POC15,MRB07,crab,white_with_brown_red_spots_crab,,,,3,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 90,,,,,,,exposed to EtOH
586,MRB-POC15,MRB07,snail,white_shell_brown_spots_snail,,,,3,shell_length,,,NA,clove,unknown,snail_family,"Unknown Snail 12, 13, 14, 15, 16, 17",,,,,,,
587,MRB-POC15,MRB07,snail,white_shell_brown_spots_snail,,,,4,shell_length,,,NA,clove,unknown,snail_family,"Unknown Snail 12, 13, 14, 15, 16, 17",,,,,,,
588,MRB-POC16,MRB07,shrimp,ALLO,alpheidae,alpheus,lottini,21,rostrum_to_tail,,,NA,clove,known,,,,,,,,,
589,MRB-POC16,MRB07,shrimp,ALLO,alpheidae,alpheus,lottini,22,rostrum_to_tail,,,NA,clove,known,gravid,,,,,,,,
590,MRB-POC16,MRB07,hermit,CALA,diogenidae,calcinus,laevimanus,4.7,carapace_length,,,NA,clove,known,,,,,,,,,
591,MRB-POC16,MRB07,hermit,CALT,diogenidae,calcinus,latens,4.8,carapace_length,,,NA,clove,known,,,,,,,,,code assigned on 7/6 based on ID on 7/5
592,MRB-POC16,MRB07,hermit,CALT,diogenidae,calcinus,latens,2.5,carapace_length,,,NA,clove,known,,,,,,,,,code assigned on 7/6 based on ID on 7/5
593,MRB-POC16,MRB07,hermit,CALT,diogenidae,calcinus,latens,4.3,carapace_length,,,NA,clove,known,,,,,,,,,code assigned on 7/6 based on ID on 7/5
594,MRB-POC16,MRB07,hermit,CALT,diogenidae,calcinus,latens,3,carapace_length,,,NA,clove,known,,,,,,,,,code assigned on 7/6 based on ID on 7/5
595,MRB-POC16,MRB07,hermit,CALT,diogenidae,calcinus,latens,2,carapace_length,,,NA,clove,known,,,,,,,,,code assigned on 7/6 based on ID on 7/5
596,MRB-POC16,MRB07,fish,CAMA,caracanthidae,caracanthus,maculatus,22.8,total_length,19,standard_length,NA,clove,known,,,,,,,,,
597,MRB-POC16,MRB07,shrimp,dark_pinchers_shrimp,,,,11,rostrum_to_tail,,,NA,clove,unknown,alpheidae,Unknown Shrimp 223,,,,,,,treated with EtOH before photo
598,MRB-POC16,MRB07,crab,frog_crab,,,,1,carapace_width,,,NA,clove,unknown,xanthidae,Unknown Crab 95,,,,,,,
599,MRB-POC16,MRB07,clear_shrimp,HADE,,,,14,rostrum_to_tail,,,NA,clove,known,palaemonidae,Unknown Shrimp 220,y,3-Nov,AP,ZSP,larger Harpiliopsis,199,depressa?
600,MRB-POC16,MRB07,clear_shrimp,HADE,,,,10,rostrum_to_tail,,,NA,clove,known,palaemonidae,Unknown Shrimp 221,y,3-Nov,AP,ZSP,larger Harpiliopsis,200,depressa?
601,MRB-POC16,MRB07,clear_shrimp,HADE,,,,12,rostrum_to_tail,,,NA,clove,known,palaemonidae,Unknown Shrimp 222,y,3-Nov,AP,ZSP,larger Harpiliopsis,201,depressa?
602,MRB-POC16,MRB07,clear_shrimp,HADE,,,,13,rostrum_to_tail,,,NA,clove,known,palaemonidae,Unknown Shrimp 224,y,11/27/19,JC,JC,larger Harpiliopsis,202,Listed as FECH in merge sheet but looks more like HADE - JC
603,MRB-POC16,MRB07,snail,LIMP,,,,12,shell_length,,,NA,clove,known,quoyula madreporum,,,,,,,,
604,MRB-POC16,MRB07,snail,LIMP,,,,5.8,shell_length,,,NA,clove,known,quoyula madreporum,,,,,,,,
605,MRB-POC16,MRB07,fish,PAAR,cirrhitidae,paracirrhites,arcatus,48.5,total_length,39.7,standard_length,NA,clove,known,observed in field and retained,,,,,,,,
606,MRB-POC16,MRB07,clear_shrimp,FECH,,,,4,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 231, 232, 233",y,3-Nov,AP,ZSP,skinny clear shrimp with no claws,209,different original name in identified list
607,MRB-POC16,MRB07,clear_shrimp,FECH,,,,4.5,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 231, 232, 233",y,3-Nov,AP,ZSP,skinny clear shrimp with no claws,210,different original name in identified list
608,MRB-POC16,MRB07,clear_shrimp,FECH,,,,5,rostrum_to_tail,,,NA,clove,known,palaemonidae,"Unknown Shrimp 231, 232, 233",y,3-Nov,AP,ZSP,skinny clear shrimp with no claws,211,different original name in identified list
