master_sort,old_sort,coral_id,site,code,type,search_term,cafi_size_mm,measurement,alt_size_mm,alt_measurement,extraction_method,photo_num,id_certainty,general_notes,identification_notes,revised_yn,revision_date,identified_by,revised_by,previous_name,worms_id,lowest_level,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,species
816,806,HAU-POC04,HAU02,PAMO,fish,Paragobiodon modestus,14.9,total_length,13.9,standard_length,clove,,certain,voucher specimen,,,,,,,219538,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Gobioidei,NA,NA,Gobiidae,Gobiinae,Paragobiodon,Paragobiodon modestus
817,807,HAU-POC04,HAU02,PAMO,fish,Paragobiodon modestus,15.4,total_length,14.2,standard_length,clove,,certain,voucher specimen,,,,,,,219538,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Gobioidei,NA,NA,Gobiidae,Gobiinae,Paragobiodon,Paragobiodon modestus
818,808,HAU-POC04,HAU02,PAMO,fish,Paragobiodon modestus,15,total_length,13.5,standard_length,clove,,certain,voucher specimen,,,,,,,219538,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Gobioidei,NA,NA,Gobiidae,Gobiinae,Paragobiodon,Paragobiodon modestus
819,809,HAU-POC04,HAU02,PAMO,fish,Paragobiodon modestus,20.4,total_length,17.2,standard_length,clove,,certain,,,,,,,,219538,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Gobioidei,NA,NA,Gobiidae,Gobiinae,Paragobiodon,Paragobiodon modestus
820,810,HAU-POC04,HAU02,PAMO,fish,Paragobiodon modestus,12.5,total_length,10.2,standard_length,clove,,certain,,,,,,,,219538,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Gobioidei,NA,NA,Gobiidae,Gobiinae,Paragobiodon,Paragobiodon modestus
821,811,HAU-POC04,HAU02,PAMO,fish,Paragobiodon modestus,9.5,total_length,8.7,standard_length,clove,,certain,,,,,,,,219538,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Gobioidei,NA,NA,Gobiidae,Gobiinae,Paragobiodon,Paragobiodon modestus
822,812,HAU-POC04,HAU02,PAMO,fish,Paragobiodon modestus,9.3,total_length,8.1,standard_length,clove,,certain,,,,,,,,219538,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Gobioidei,NA,NA,Gobiidae,Gobiinae,Paragobiodon,Paragobiodon modestus
823,813,HAU-POC04,HAU02,PAMO,fish,Paragobiodon modestus,7.5,total_length,6.5,standard_length,clove,,certain,,,,,,,,219538,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Gobioidei,NA,NA,Gobiidae,Gobiinae,Paragobiodon,Paragobiodon modestus
824,814,HAU-POC04,HAU02,TRBI,crab,Trapezia bidentata,8,carapace_width,,,clove,,certain,,,,,,,,443875,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia bidentata
825,815,HAU-POC04,HAU02,TRBI,crab,Trapezia bidentata,11.4,carapace_width,,,clove,,certain,,,,,,,,443875,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia bidentata
826,816,HAU-POC04,HAU02,TRSE,crab,Trapezia serenei,4.6,carapace_width,,,clove,,certain,,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
827,817,HAU-POC04,HAU02,TRSE,crab,Trapezia serenei,7,carapace_width,,,clove,,certain,,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
828,818,HAU-POC04,HAU02,TRSE,crab,Trapezia serenei,7,carapace_width,,,clove,,certain,,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
829,819,HAU-POC04,HAU02,TRSE,crab,Trapezia serenei,5,carapace_width,,,clove,,certain,,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
830,820,HAU-POC04,HAU02,TRSE,crab,Trapezia serenei,6.4,carapace_width,,,clove,,certain,,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
831,821,HAU-POC04,HAU02,TRSE,crab,Trapezia serenei,5,carapace_width,,,clove,,certain,,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
832,822,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,24,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
833,823,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,21.5,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
834,824,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,27.4,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
835,825,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,14.2,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
836,826,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,17.3,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
837,827,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,24.6,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
838,828,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,13.3,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
839,829,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,16.6,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
840,830,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,13.9,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
841,831,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,19.9,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
842,832,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,18.2,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
843,833,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,17.1,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
844,834,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,25.1,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
845,835,HAU-POC04,HAU02,COMO,snail,Coralliophila monodonta,9.7,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
846,836,HAU-POC04,HAU02,CALT,hermit,Calcinus latens,4.5,carapace_length,,,clove,,certain,"first ID, high occurrence previously, voucher specimens saved",,,,,,,208677,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Diogenidae,NA,Calcinus,Calcinus latens
847,837,HAU-POC04,HAU02,CALT,hermit,Calcinus latens,3.2,carapace_length,,,clove,,certain,,,,,,,,208677,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Diogenidae,NA,Calcinus,Calcinus latens
848,838,HAU-POC04,HAU02,CALT,hermit,Calcinus latens,2.5,carapace_length,,,clove,,certain,,,,,,,,208677,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Diogenidae,NA,Calcinus,Calcinus latens
849,839,HAU-POC04,HAU02,CALT,hermit,Calcinus latens,2.5,carapace_length,,,clove,,certain,,,,,,,,208677,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Diogenidae,NA,Calcinus,Calcinus latens
850,840,HAU-POC04,HAU02,CALT,hermit,Calcinus latens,3.5,carapace_length,,,clove,,certain,,,,,,,,208677,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Diogenidae,NA,Calcinus,Calcinus latens
851,841,HAU-POC04,HAU02,CALT,hermit,Calcinus latens,2.4,carapace_length,,,clove,,certain,,,,,,,,208677,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Diogenidae,NA,Calcinus,Calcinus latens
852,842,HAU-POC04,HAU02,CALT,hermit,Calcinus latens,3.4,carapace_length,,,clove,,certain,,,,,,,,208677,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Diogenidae,NA,Calcinus,Calcinus latens
853,843,HAU-POC04,HAU02,CALT,hermit,Calcinus latens,1.5,carapace_length,,,clove,,certain,,,,,,,,208677,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Diogenidae,NA,Calcinus,Calcinus latens
854,844,HAU-POC04,HAU02,ALPR,shrimp,Alpheus parvirostris,10,rostrum_to_tail,,,clove,Unknown Shrimp 305,certain,,"Dark bands, thick snapping claw with white blotch",y,15-Oct,AP,AP,zebra,210506,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus parvirostris
855,845,HAU-POC04,HAU02,ALPR,shrimp,Alpheus parvirostris,12,rostrum_to_tail,,,clove,Unknown Shrimp 306,certain,gravid,"Dark bands, thick snapping claw with white blotch",y,15-Oct,AP,AP,zebra,210506,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus parvirostris
856,846,HAU-POC04,HAU02,ATDJ,shrimp,Athanas djiboutensis,6,rostrum_to_tail,,,clove,Unknown Shrimp 307,revision_possible,,"red stripes, frosty orange patterned markings down carapace; Athanas species difficult to distinguish, but genus is likely to be correct",y,15-Oct,AP,AP,red_frostbite_alph,210466,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Athanas,Athanas djiboutensis
857,847,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,19,rostrum_to_tail,,,clove,Unknown Shrimp 308,certain,,,y,15-Oct,AP,AP,large_harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
858,848,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,18,rostrum_to_tail,,,clove,Unknown Shrimp 309,certain,,,y,15-Oct,AP,AP,large_harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
859,849,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,17,rostrum_to_tail,,,clove,Unknown Shrimp 310,certain,,,y,15-Oct,AP,AP,large_harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
860,850,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,17,rostrum_to_tail,,,clove,Unknown Shrimp 311,certain,,,y,15-Oct,AP,AP,large_harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
861,851,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,14,rostrum_to_tail,,,clove,Unknown Shrimp 312,certain,,,y,15-Oct,AP,AP,large_harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
862,852,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,14,rostrum_to_tail,,,clove,Unknown Shrimp 313,certain,,,y,15-Oct,AP,AP,large_harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
863,853,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,15,rostrum_to_tail,,,clove,Unknown Shrimp 314,certain,,,y,15-Oct,AP,AP,large_harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
864,854,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,11,rostrum_to_tail,,,clove,Unknown Shrimp 315,certain,,,y,15-Oct,AP,AP,harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
865,855,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,12,rostrum_to_tail,,,clove,Unknown Shrimp 316,certain,,,y,15-Oct,AP,AP,harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
866,856,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,10,rostrum_to_tail,,,clove,"Unknown Shrimp 317, 318",certain,,,y,15-Oct,AP,AP,harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
867,857,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,9,rostrum_to_tail,,,clove,"Unknown Shrimp 317, 318",certain,,,y,15-Oct,AP,AP,harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
868,858,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,8,rostrum_to_tail,,,clove,Unknown Shrimp 319,certain,,,y,15-Oct,AP,AP,harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
869,859,HAU-POC04,HAU02,FECH,shrimp,Fennera chacei,5,rostrum_to_tail,,,clove,Unknown Shrimp 320,certain,,,y,15-Oct,AP,AP,thicc_harpiliopsis,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
870,860,HAU-POC04,HAU02,ALLO,shrimp,Alpheus lottini,7,rostrum_to_tail,,,clove,Unknown Shrimp 321,certain,,,y,15-Oct,AP,AP,orange_tiger_alpheus,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
871,861,HAU-POC04,HAU02,ALLO,shrimp,Alpheus lottini,14,rostrum_to_tail,,,clove,Unknown Shrimp 332,certain,,,y,17-Oct,AP,AP,possible_lottini,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
872,862,HAU-POC04,HAU02,ALLO,shrimp,Alpheus lottini,10,rostrum_to_tail,,,clove,Unknown Shrimp 333,certain,,,y,17-Oct,AP,AP,possible_lottini,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
873,863,HAU-POC04,HAU02,HASP,shrimp,Harpiliopsis spinigera,10,rostrum_to_tail,,,clove,Unknown Shrimp 334,certain,,,y,17-Oct,AP,AP,harpiliopsis,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
874,864,HAU-POC04,HAU02,PASC,snail,Pascula,11,total_length,,,clove,Unknown Snail 19,certain,,"Certain of genus, not enough in photo to ID species. Spaced, high relief white ridges with brown interpatterning, squat shape; less certain of US 13, but shape, patterns, and features match",y,2020-05-22,JC,JC,curly_snail,205373,genus,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Ergalataxinae,Pascula,NA
875,865,HAU-POC04,HAU02,ATDJ,shrimp,Athanas djiboutensis,5,rostrum_to_tail,,,clove,Unknown Shrimp 336,revision_possible,looked alot like HASP which was listed as US 334 vs 336 so maybe a mixup?,"Red markings under forward facing eye, few other markings; may not be good beyond genus; Athanas species difficult to distinguish, but genus is likely to be correct",y,17-Oct,AP,AP,orange_spot_on_carapace,210466,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Athanas,Athanas djiboutensis
876,866,HAU-POC05,HAU02,ALLO,shrimp,Alpheus lottini,29.3,rostrum_to_tail,,,clove,,certain,,,,,,,,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
877,867,HAU-POC05,HAU02,ALLO,shrimp,Alpheus lottini,25.6,rostrum_to_tail,,,clove,,certain,,,,,,,,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
878,868,HAU-POC05,HAU02,TRSE,crab,Trapezia serenei,9.8,carapace_width,,,clove,,certain,,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
879,869,HAU-POC05,HAU02,TRSE,crab,Trapezia serenei,11.6,carapace_width,,,clove,,certain,,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
880,870,HAU-POC05,HAU02,CANI,hermit,Calcinus nitidus,4.5,carapace_length,,,clove,,certain,,,,,,,,208675,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Diogenidae,NA,Calcinus,Calcinus nitidus
881,871,HAU-POC05,HAU02,COMO,snail,Coralliophila monodonta,10.1,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
882,872,HAU-POC05,HAU02,ALSI,shrimp,Alpheus sizou,11,rostrum_to_tail,,,clove,Unknown Shrimp 322,revision_possible,,"Red spots, mostly solid colored, claws fit, but no signs of purple. No other purple alphs fit",y,2020-05-22,JC,JC,purple_alpheid_shrimp,514966,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus sizou
883,873,HAU-POC05,HAU02,ALSP,shrimp,Alpheus,16,rostrum_to_tail,,,clove,Unknown Shrimp 323,revision_possible,,"Alpheus sp; can't concretely make ID, maybe ALDI but has white spots and ALDO doesn't",y,17-Oct; 2020-05-11,JC,AP; JC; JC,banded_orange_alph; ALDO,106978,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,NA
884,874,HAU-POC05,HAU02,ATDJ,shrimp,Athanas djiboutensis,7,rostrum_to_tail,,,clove,Unknown Shrimp 324,revision_possible,,"Athanas species difficult to distinguish, but genus is likely to be correct",y,17-Oct,AP,AP,orange_frostbite_alpheus,210466,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Athanas,Athanas djiboutensis
885,875,HAU-POC05,HAU02,ATDJ,shrimp,Athanas djiboutensis,6,rostrum_to_tail,,,clove,Unknown Shrimp 325,revision_possible,,"Athanas species difficult to distinguish, but genus is likely to be correct",y,17-Oct,AP,AP,orange_frostbite_alpheus,210466,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Athanas,Athanas djiboutensis
886,876,HAU-POC05,HAU02,ATDJ,shrimp,Athanas djiboutensis,6,rostrum_to_tail,,,clove,Unknown Shrimp 326,revision_possible,,"Athanas species difficult to distinguish, but genus is likely to be correct",y,17-Oct,AP,AP,orange_frostbite_alpheus,210466,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Athanas,Athanas djiboutensis
887,877,HAU-POC05,HAU02,HABE,shrimp,Harpiliopsis beaupresii,3,rostrum_to_tail,,,clove,Unknown Shrimp 327,certain,,,y,17-Oct; 2020-05-11,JC,AP; JC; JC,harpiliopsis; HADE,220132,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis beaupresii
888,878,HAU-POC05,HAU02,PACO,shrimp,Palaemon concinnus,7,rostrum_to_tail,,,smash,Unknown Shrimp 335,revision_possible,in photo folder harpiliopsis_4,"Large orange dots, large palps; second guesses would be Palaemonella or Periclimenes sp",y,3/26/2020; 2020-05-22,JC,JC; JC,harpiliopsis; orange_dot_clear_shrimp,220149,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Palaemon,Palaemon concinnus
