order,coral_id,site,type,code,family,genus,species,count,cafi_size_mm,measurement,alt_size_mm,alt_measurement,cafi_weight,extraction_method,known_unknown,predicted_family,photo_num,notes,
291,FE-POC42,,fish,CAMA,,,,1,,,,,,,known,,,,
292,FE-POC42,,crab,TRFL,,,,1,,,,,,,known,,,,
293,FE-POC42,,fish,CAMA,,,,1,,,,,,,known,,,,
294,FE-POC42,,crab,TRAR,,,,2,,,,,,,known,,,,
295,FE-POC42,,crab,TRSE,,,,5,,,,,,,known,,,,
296,FE-POC42,,crab,TRBI,,,,2,,,,,,,known,,,,
297,FE-POC34,,fish,NEAR,,,,2,,,,,,,known,,,,
298,FE-POC34,,shrimp,ALLO,,,,2,,,,,,,known,,,1 gravid,
299,FE-POC34,,crab,TRSE,,,,4,,,,,,,known,,,,
300,FE-POC34,,crab,TRBI,,,,1,,,,,,,known,,,1 gravid,
301,FE-POC16,,snail,LIMP,,,,1,,,,,,,known,,,,
302,FE-POC16,,fish,CAMA,,,,1,,,,,,,known,,,,
303,FE-POC16,,hermit,CALT,,,,1,,,,,,,known,,,,
304,FE-POC16,,shrimp,ALLO,,,,1,,,,,,,known,,,1 gravid,
305,FE-POC10,,snail,LIMP,,,,4,,,,,,,known,,,,
306,FE-POC10,,crab,TRSE,,,,3,,,,,,,known,,,1 gravid,
307,FE-POC10,,shrimp,ALLO,,,,1,,,,,,,known,,,,
308,FE-POC38,,echinoderm,MALO,,,,1,,,,,,,known,,,,
309,FE-POC38,,crab,TRSE,,,,2,,,,,,,known,,,1 gravid,
310,FE-POC38,,crab,TRBI,,,,1,,,,,,,known,,,,
311,FE-POC38,,crab,TRSP,,,,1,,,,,,,known,,,,
312,FE-POC38,,shrimp,ALLO,,,,2,,,,,,,known,,,,
313,FE-POC38,,snail,LIMP,,,,2,,,,,,,known,,,,
314,FE-POC38,,fish,PALA,,,,2,,,,,,,known,,,,
315,FE-POC38,,fish,CAMA,,,,1,,,,,,,known,,,,
316,FE-POC38,,hermit,CANI,,,,2,,,,,,,known,,,,
317,FE-POC18,,crab,TRSE,,,,3,,,,,,,known,,,,
318,FE-POC18,,snail,LIMP,,,,1,,,,,,,known,,,,
319,FE-POC18,,shrimp,ALLO,,,,1,,,,,,,known,,,,
320,FE-POC18,,crab,unknown_xanthid_crab,,,,1,,,,,,,unknown,,,"lost during processing, no photograph or id, ~3mm",
321,FE-POC11,,crab,TRTI,,,,2,,,,,,,known,,,,
322,FE-POC11,,crab,TRSE,,,,1,,,,,,,known,,,,
323,FE-POC11,,shrimp,ALLO,,,,1,,,,,,,known,,,,
324,FE-POC11,,fish,PAMO,,,,2,,,,,,,known,,,,
325,FE-POC11,,snail,LIMP,,,,1,,,,,,,known,,,,
326,FE-POC03,,crab,TRSE,,,,2,,,,,,,known,,,1 gravid,
327,FE-POC03,,shrimp,ALLO,,,,2,,,,,,,known,,,,
328,FE-POC03,,hermit,CANI,,,,2,,,,,,,known,,,,
329,FE-POC22,,crab,TRSE,,,,3,,,,,,,known,,,1 gravid,
330,FE-POC22,,snail,LIMP,,,,1,,,,,,,known,,,,
331,FE-POC22,,fish,PAMO,,,,2,,,,,,,known,,,,
332,FE-POC26,,crab,TRSE,,,,2,,,,,,,known,,,,
333,FE-POC26,,fish,PAMO,,,,1,,,,,,,known,,,,
334,FE-POC29,,snail,LIMP,,,,5,,,,,,,known,,,,
335,FE-POC29,,crab,TRSE,,,,3,,,,,,,known,,,1 gravid,
336,FE-POC29,,hermit,CANI,,,,1,,,,,,,known,,,,
337,FE-POC29,,shrimp,ALLO,,,,2,,,,,,,known,,,1 gravid,
338,FE-POC29,,fish,PSHE,,,,2,,,,,,,known,,,,
339,FE-POC29,,echinoderm,OPPI,,,,1,,,,,,,known,,,,
340,FE-POC29,,fish,NEAR,,,,1,,,,,,,known,,,,
341,FE-POC31D,,fish,PAMO,,,,1,,,,,,,known,,,,
342,FE-POC31D,,fish,CAMA,,,,1,,,,,,,known,,,,
343,FE-POC31D,,snail,LIMP,,,,4,,,,,,,known,,,,
344,FE-POC31D,,shrimp,ALLO,,,,2,,,,,,,known,,,,
345,FE-POC31D,,crab,TRBI,,,,3,,,,,,,known,,,,
346,FE-POC31D,,crab,TRSP,,,,1,,,,,,,known,,,,
347,FE-POC31D,,crab,TRSE,,,,2,,,,,,,known,,,1 gravid,
348,FE-POC18D,,shrimp,ALLO,,,,2,,,,,,,known,,,1 gravid,
349,FE-POC18D,,echinoderm,OPPI,,,,1,,,,,,,known,,,,
350,FE-POC18D,,crab,TRBI,,,,2,,,,,,,known,,,,
351,FE-POC18D,,hermit,CANI,,,,1,,,,,,,known,,,,
352,FE-POC18D,,crab,TRSE,,,,2,,,,,,,known,,,,
353,FE-POC47,,fish,NEAR,,,,3,,,,,,,known,,,,
354,FE-POC47,,fish,CAMA,,,,3,,,,,,,known,,,,
355,FE-POC47,,fish,PAMO,,,,2,,,,,,,known,,,,
356,FE-POC47,,crab,TRSE,,,,3,,,,,,,known,,,1 gravid,
357,FE-POC47,,crab,TRBI,,,,1,,,,,,,known,,,,
358,FE-POC47,,crab,TRAR,,,,1,,,,,,,known,,,,
359,FE-POC47,,hermit,CALT,,,,1,,,,,,,known,,,,
360,FE-POC47,,snail,LIMP,,,,6,,,,,,,known,,,,
361,FE-POC50,,fish,CAMA,,,,4,,,,,,,known,,,,
362,FE-POC50,,fish,PALA,,,,1,,,,,,,known,,,,
363,FE-POC50,,hermit,CANI,,,,4,,,,,,,known,,,,
364,FE-POC50,,shrimp,ALLO,,,,3,,,,,,,known,,,,
365,FE-POC50,,crab,TRSE,,,,5,,,,,,,known,,,1 gravid,
366,FE-POC50,,crab,TRBI,,,,1,,,,,,,known,,,,
367,FE-POC50,,snail,LIMP,,,,2,,,,,,,known,,,,
368,FE-POC50,,clear_shrimp,HASP,,,,13,,,,,,,known,,,,
369,FE-POC39D,,crab,TRSE,,,,2,,,,,,,known,,,,
370,FE-POC39D,,crab,TRBI,,,,2,,,,,,,known,,,,
371,FE-POC39D,,fish,CAMA,,,,1,,,,,,,known,,,,
372,FE-POC39D,,echinoderm,MALO,,,,1,,,,,,,known,,,,
373,FE-POC39D,,snail,LIMP,,,,1,,,,,,,known,,,,
374,FE-POC39D,,shrimp,ALLO,,,,2,,,,,,,known,,,,
375,FE-POC48,,fish,NEAR,,,,2,,,,,,,known,,,,
376,FE-POC48,,shrimp,ALLO,,,,1,,,,,,,known,,,1 gravid,
377,FE-POC48,,crab,TRSE,,,,3,,,,,,,known,,,,
378,FE-POC48,,hermit,CANI,,,,1,,,,,,,known,,,,
379,FE-POC59,,fish,CAMA,,,,6,,,,,,,known,,,,
380,FE-POC59,,fish,PALA,,,,2,,,,,,,known,,,,
381,FE-POC59,,fish,PSHE,,,,1,,,,,,,known,,,,
382,FE-POC59,,snail,LIMP,,,,5,,,,,,,known,,,,
383,FE-POC59,,crab,TRTI,,,,2,,,,,,,known,,,,
384,FE-POC59,,crab,TRSE,,,,5,,,,,,,known,,,,
385,FE-POC59,,hermit,CANI,,,,5,,,,,,,known,,,,
386,FE-POC59,,hermit,CALT,,,,1,,,,,,,known,,,,
387,FE-POC59,,shrimp,ALLO,,,,2,,,,,,,known,,,,
388,FE-POC25D,,shrimp,ALLO,,,,2,,,,,,,known,,,,
389,FE-POC24D,,fish,PAMO,,,,5,,,,,,,known,,,,
390,FE-POC24D,,crab,TRSE,,,,4,,,,,,,known,,,,
391,FE-POC24D,,crab,TRGU,,,,2,,,,,,,known,,,1 gravid,
392,FE-POC24D,,crab,TRBI,,,,3,,,,,,,known,,,1 gravid,
393,FE-POC24D,,snail,LIMP,,,,1,,,,,,,known,,,,
394,FE-POC24D,,hermit,CANI,,,,1,,,,,,,known,,,,
